credit_score,first_payment_date,total_units,occupancy_type,debt_to_income_ratio,loan_amount,interest_rate,postal_code,loan_purpose,loan_term,defaulted,default_month,loan_to_value_ratio,income,applicant_race,applicant_sex,applicant_age,hmda_index,defaulted_in_six_months,defaulted_in_one_year,six_month_interval_label
708,2020-03-01,1,P,30-<36,335000,3.75,91700,P,360,0,,80.0,71.0,2,1,25-34,3068534,0,0,1
813,2020-03-01,1,P,20-<30,225000,3.75,34900,P,360,0,,50.0,86.0,5,1,25-34,4222121,0,0,1
726,2020-03-01,1,P,40,255000,3.875,78200,P,360,0,,100.0,45.0,5,2,25-34,3468551,0,0,1
722,2020-03-01,1,P,41,495000,3.875,10500,P,360,1,2020-06-01,90.0,131.0,5,2,35-44,2511047,1,1,1
694,2020-03-01,1,P,20-<30,135000,3.75,13000,P,360,0,,86.667,95.0,5,1,25-34,3127945,0,0,1
699,2020-03-01,1,P,30-<36,225000,3.875,92200,P,360,0,,75.0,62.0,3,2,45-54,3186647,0,0,1
731,2020-03-01,1,P,30-<36,195000,4.25,34200,P,360,0,,100.0,58.0,5,1,25-34,31344,0,0,1
717,2020-03-01,1,P,20-<30,395000,3.75,92500,R,360,0,,46.294,153.0,5,1,55-64,3750082,0,0,1
774,2020-03-01,1,P,49,295000,3.75,32200,P,360,0,,95.0,60.0,6,2,25-34,4837247,0,0,1
721,2020-03-01,1,P,37,95000,3.625,14400,P,360,0,,95.238,34.0,5,2,35-44,3127685,0,0,1
718,2020-03-01,1,P,20-<30,205000,3.99,92800,R,360,0,,54.51,258.0,2,1,45-54,3963472,0,0,1
769,2020-03-01,1,P,20-<30,765000,4.125,94500,P,360,0,,90.0,319.0,5,1,35-44,3933051,0,0,1
789,2020-03-01,1,P,42,325000,3.875,32700,P,360,0,,97.0,63.0,3,2,25-34,1966542,0,0,1
763,2020-03-01,1,P,36,265000,4.375,92500,R,360,0,,28.0,98.0,5,2,45-54,2025488,0,0,1
735,2020-03-01,1,P,42,175000,3.875,33700,P,360,0,,37.778,36.0,5,2,55-64,3106400,0,0,1
802,2020-03-01,1,P,48,195000,4.5,33400,P,360,1,2020-06-01,80.0,47.0,5,2,45-54,1931921,1,1,1
802,2020-03-01,1,S,20-<30,135000,4.25,33900,P,360,0,,52.0,95.0,6,1,35-44,3370242,0,0,1
807,2020-03-01,1,P,48,265000,3.75,33400,P,360,0,,70.0,339.0,5,2,55-64,1253639,0,0,1
717,2020-03-01,1,P,30-<36,535000,3.75,92600,R,360,0,,76.814,304.0,5,1,65-74,1660492,0,0,1
760,2020-03-01,1,P,30-<36,145000,3.25,96000,R,180,0,,43.0,47.0,5,1,>74,2028684,0,0,1
661,2020-03-01,1,P,20-<30,425000,3.25,94500,R,360,0,,19.721,166.0,5,2,>74,2341478,0,0,1
731,2020-03-01,1,P,30-<36,195000,4.0,77400,P,360,0,,90.0,83.0,6,1,25-34,4128724,0,0,1
754,2020-03-01,1,P,20-<30,225000,3.875,33500,R,360,0,,41.48,101.0,6,1,45-54,2969068,0,0,1
790,2020-03-01,1,P,<20,175000,3.75,10900,P,360,0,,53.968,137.0,5,2,<25,1665763,0,0,1
793,2020-03-01,1,P,36,125000,3.875,33300,P,360,0,,75.0,62.0,3,2,55-64,320586,0,0,1
711,2020-03-01,1,P,47,185000,3.875,33100,P,360,0,,95.0,43.0,6,2,55-64,3752127,0,0,1
705,2020-03-01,1,P,30-<36,245000,4.625,92500,R,360,0,,44.727,109.0,5,1,25-34,1741035,0,0,1
767,2020-03-01,1,P,30-<36,185000,3.625,92300,R,360,0,,43.68,75.0,5,1,35-44,475953,0,0,1
768,2020-03-01,1,P,37,485000,3.875,32700,P,360,0,,97.0,148.0,5,1,35-44,1010391,0,0,1
719,2020-03-01,1,P,30-<36,285000,3.75,95600,R,360,0,,70.0,84.0,6,2,45-54,2068741,0,0,1
650,2020-05-01,1,P,30-<36,285000,3.75,95600,R,360,0,,70.0,84.0,6,2,45-54,2068741,0,0,1
759,2020-03-01,1,P,30-<36,205000,3.99,78700,R,360,0,,56.054,63.0,5,2,35-44,3749431,0,0,1
755,2020-03-01,1,P,30-<36,335000,3.875,77000,P,360,0,,95.0,130.0,5,2,25-34,3250536,0,0,1
726,2020-03-01,1,P,20-<30,135000,3.625,14200,R,240,0,,64.651,80.0,5,2,25-34,1162165,0,0,1
758,2020-03-01,1,P,49,165000,4.0,90200,R,360,0,,59.881,138.0,2,1,55-64,498838,0,0,1
676,2020-03-01,1,P,44,225000,3.75,32800,R,360,0,,83.091,88.0,6,1,35-44,3747204,0,0,1
767,2020-04-01,1,P,44,225000,3.75,32800,R,360,0,,83.091,88.0,6,1,35-44,3747204,0,0,1
802,2020-04-01,1,P,20-<30,255000,3.625,32300,P,360,0,,86.207,95.0,5,1,25-34,1140133,0,0,1
778,2020-03-01,1,P,45,395000,3.75,91700,R,360,0,,50.999,126.0,2,1,55-64,3559275,0,0,1
788,2020-03-01,1,P,30-<36,165000,4.875,34400,P,360,0,,63.986,46.0,5,1,65-74,3108087,0,0,1
690,2020-03-01,1,P,47,335000,3.875,11500,R,360,0,,64.404,74.0,3,1,45-54,1667447,0,0,1
760,2020-03-01,1,P,30-<36,225000,3.875,75000,P,360,1,2020-07-01,75.0,60.0,5,2,45-54,3694501,1,1,1
810,2020-03-01,1,P,20-<30,295000,3.75,33400,P,360,0,,88.589,125.0,6,1,25-34,3755153,0,0,1
718,2020-03-01,1,P,20-<30,595000,3.75,90600,P,360,0,,80.0,170.0,2,1,45-54,3676977,0,0,1
769,2020-03-01,1,P,30-<36,275000,3.99,95600,R,360,0,,58.122,61.0,5,2,35-44,1671221,0,0,1
762,2020-03-01,1,I,30-<36,185000,4.0,94500,R,360,1,2020-07-01,18.045,104.0,5,1,45-54,4393004,1,1,1
784,2020-03-01,1,P,44,335000,3.875,11700,R,360,0,,50.0,112.0,2,1,55-64,1995827,0,0,1
773,2020-03-01,1,P,30-<36,345000,3.75,78200,P,360,1,2020-06-01,80.0,132.0,6,1,25-34,3244421,1,1,1
679,2020-03-01,1,P,30-<36,335000,4.5,33900,P,360,0,,95.0,107.0,6,2,25-34,3762654,0,0,1
783,2020-03-01,1,P,<20,125000,3.75,32400,P,360,0,,98.189,61.0,5,1,45-54,1143480,0,0,1
789,2020-03-01,1,P,20-<30,135000,3.875,32300,P,360,0,,95.0,55.0,5,1,65-74,4407677,0,0,1
756,2020-03-01,1,P,39,185000,3.75,77400,P,360,0,,95.0,51.0,5,1,25-34,2002844,0,0,1
763,2020-03-01,1,P,48,215000,3.75,78200,P,360,0,,90.0,65.0,5,2,25-34,2287373,0,0,1
727,2020-03-01,1,P,48,295000,3.875,33400,P,360,0,,95.0,83.0,6,2,35-44,4132460,0,0,1
797,2020-03-01,1,P,30-<36,375000,3.625,91100,R,360,0,,19.247,149.0,2,1,65-74,1740811,0,0,1
705,2020-03-01,1,P,38,165000,3.99,32800,R,360,0,,85.49,54.0,6,1,45-54,3223408,0,0,1
691,2020-03-01,1,P,42,215000,3.99,78200,P,360,0,,95.0,107.0,5,2,35-44,4107646,0,0,1
759,2020-03-01,1,P,30-<36,375000,3.75,95600,R,360,0,,81.52,153.0,5,2,45-54,1999527,0,0,1
720,2020-03-01,1,P,30-<36,295000,3.75,32500,P,360,0,,100.0,110.0,2,1,25-34,3836609,0,0,1
647,2020-03-01,1,P,37,765000,3.75,91700,P,360,0,,90.0,151.0,6,1,25-34,1227572,0,0,1
758,2020-03-01,1,P,30-<36,165000,3.75,76200,R,360,0,,32.059,52.0,5,1,25-34,312487,0,0,1
714,2020-03-01,1,P,42,155000,3.99,78100,R,360,0,,34.63,86.0,5,1,55-64,2158926,0,0,1
764,2020-03-01,1,P,30-<36,145000,3.75,75000,R,360,0,,40.164,70.0,5,1,45-54,1413877,0,0,1
649,2020-03-01,1,P,20-<30,125000,4.875,78200,R,360,0,,64.433,53.0,6,1,65-74,2666188,0,0,1
806,2020-03-01,1,P,20-<30,415000,3.75,75000,P,360,0,,97.0,204.0,5,1,25-34,3706399,0,0,1
706,2020-03-01,1,P,48,125000,3.875,33900,P,360,0,,30.984,55.0,5,1,55-64,4141933,0,0,1
747,2020-04-01,1,P,20-<30,265000,3.625,10900,P,360,0,,35.57,128.0,5,1,35-44,2004368,0,0,1
734,2020-03-01,1,P,20-<30,455000,3.5,33300,P,360,0,,58.43,380.0,5,2,65-74,1600353,0,0,1
762,2020-03-01,1,P,42,295000,3.875,75000,R,360,0,,46.032,66.0,2,2,55-64,2871577,0,0,1
751,2020-03-01,1,P,40,365000,3.75,75000,P,360,0,,97.0,111.0,5,2,25-34,2181437,0,0,1
741,2020-03-01,1,P,48,225000,3.875,78200,P,360,0,,95.0,52.0,6,1,25-34,1185304,0,0,1
789,2020-03-01,1,P,20-<30,275000,3.85,34700,P,360,0,,67.0,114.0,5,1,65-74,4615243,0,0,1
797,2020-03-01,1,P,45,275000,3.75,78600,P,360,0,,97.0,58.0,6,2,<25,2777065,0,0,1
728,2020-03-01,1,I,30-<36,245000,4.0,95800,R,360,1,2020-07-01,70.402,203.0,3,1,35-44,4089411,1,1,1
781,2020-03-01,1,P,20-<30,465000,3.375,32800,P,360,0,,90.0,180.0,5,1,45-54,2441367,0,0,1
712,2020-03-01,1,P,49,425000,3.875,11700,P,360,0,,95.0,76.0,6,1,25-34,1228940,0,0,1
721,2020-03-01,1,P,20-<30,435000,3.99,10900,P,360,0,,70.0,181.0,5,1,25-34,2178968,0,0,1
743,2020-03-01,1,P,46,405000,3.75,94500,R,360,0,,89.8,90.0,2,2,<25,649639,0,0,1
791,2020-03-01,1,P,30-<36,125000,3.99,34200,P,360,0,,90.0,38.0,5,1,65-74,2650018,0,0,1
781,2020-03-01,1,P,40,345000,3.625,91700,P,360,0,,75.0,79.0,2,1,25-34,2498163,0,0,1
793,2020-03-01,1,P,20-<30,685000,3.75,92100,P,360,0,,80.0,146.0,5,1,35-44,3674986,0,0,1
674,2020-03-01,1,P,30-<36,165000,3.25,77300,R,180,0,,45.0,145.0,5,1,45-54,1010258,0,0,1
758,2020-03-01,1,P,30-<36,565000,3.875,93000,P,360,0,,86.822,168.0,6,2,35-44,3036400,0,0,1
767,2020-03-01,1,P,20-<30,455000,3.625,94500,R,360,0,,79.0,217.0,2,2,35-44,884246,0,0,1
773,2020-05-01,1,P,20-<30,455000,3.625,94500,R,360,0,,79.0,217.0,2,2,35-44,884246,0,0,1
775,2020-03-01,1,P,48,385000,3.875,95600,P,360,0,,95.0,69.0,6,1,25-34,901714,0,0,1
805,2020-03-01,1,P,30-<36,585000,3.75,91700,P,360,0,,60.0,153.0,2,1,35-44,3201469,0,0,1
813,2020-03-01,1,P,20-<30,175000,3.75,76500,P,360,0,,95.0,78.0,5,2,25-34,3069977,0,0,1
796,2020-03-01,1,P,<20,215000,3.75,77000,R,360,0,,68.0,125.0,5,1,25-34,1006095,0,0,1
745,2020-03-01,1,P,39,185000,4.625,78200,P,360,0,,100.0,72.0,6,1,45-54,3244781,0,0,1
744,2020-03-01,1,P,45,555000,3.75,94500,P,360,0,,80.0,262.0,2,1,25-34,3668709,0,0,1
774,2020-03-01,1,P,30-<36,325000,3.75,11700,P,360,0,,69.785,109.0,5,2,25-34,2865457,0,0,1
743,2020-03-01,1,P,41,155000,3.75,78200,P,360,0,,,47.0,6,1,25-34,341680,0,0,1
748,2020-03-01,1,P,30-<36,155000,3.75,75100,P,360,0,,97.0,88.0,2,2,35-44,3412431,0,0,1
792,2020-03-01,1,P,30-<36,225000,3.625,13400,P,360,0,,80.0,120.0,5,1,55-64,1665494,0,0,1
745,2020-03-01,1,P,39,495000,3.625,11500,P,360,0,,81.188,152.0,5,2,25-34,1424229,0,0,1
700,2020-03-01,1,P,44,145000,3.875,14200,P,360,0,,95.0,51.0,5,1,<25,1482999,0,0,1
782,2020-03-01,1,P,<20,185000,3.625,79700,P,360,0,,80.0,135.0,2,1,25-34,3032757,0,0,1
646,2020-03-01,1,P,36,175000,5.75,77500,R,240,0,,57.89,98.0,5,1,45-54,2004972,0,0,1
724,2020-03-01,1,P,30-<36,415000,3.375,95100,R,360,1,2020-11-01,43.895,128.0,5,2,45-54,3354812,0,1,1
781,2020-03-01,1,P,37,215000,3.75,78000,P,360,0,,96.5,51.0,6,2,25-34,141974,0,0,1
791,2020-03-01,1,P,30-<36,215000,3.75,77300,R,360,0,,58.56,135.0,5,1,35-44,646894,0,0,1
778,2020-03-01,1,P,30-<36,245000,3.75,76000,P,360,0,,80.0,61.0,5,2,45-54,4219104,0,0,1
808,2020-04-01,1,P,30-<36,245000,3.75,76000,P,360,1,2020-12-01,80.0,61.0,5,2,45-54,4219104,0,1,1
812,2020-03-01,1,P,20-<30,135000,3.875,75000,P,360,0,,22.87,207.0,5,2,>74,1820103,0,0,1
704,2020-04-01,1,P,20-<30,135000,3.875,75000,P,360,0,,22.87,207.0,5,2,>74,1820103,0,0,1
716,2020-03-01,1,P,30-<36,195000,3.875,32500,P,360,0,,80.0,33.0,5,1,35-44,1140184,0,0,1
721,2020-03-01,1,P,30-<36,415000,4.125,90700,P,360,0,,47.399,110.0,6,2,45-54,4195274,0,0,1
741,2020-03-01,1,P,20-<30,235000,3.5,34700,P,360,0,,96.5,95.0,5,1,55-64,3088380,0,0,1
670,2020-03-01,1,P,30-<36,225000,3.75,75000,P,360,0,,49.034,63.0,5,1,35-44,3360498,0,0,1
793,2020-03-01,1,P,30-<36,225000,3.75,75000,P,360,0,,49.034,63.0,5,1,35-44,3360498,0,0,1
801,2020-03-01,1,P,20-<30,135000,3.625,91300,R,360,0,,14.0,54.0,5,1,>74,1004283,0,0,1
776,2020-03-01,1,P,44,225000,3.75,32700,P,360,0,,67.552,61.0,5,1,25-34,3615880,0,0,1
777,2020-03-01,1,P,30-<36,355000,3.5,90600,R,360,0,,46.8,167.0,2,1,35-44,1694393,0,0,1
727,2020-03-01,1,P,39,275000,3.875,76000,P,360,0,,100.0,75.0,6,1,<25,3041539,0,0,1
789,2020-03-01,1,P,30-<36,325000,3.75,78600,P,360,0,,48.0,146.0,5,2,25-34,2777015,0,0,1
790,2020-03-01,1,P,20-<30,235000,3.375,91900,R,240,0,,40.38,175.0,5,1,55-64,3725337,0,0,1
680,2020-03-01,1,P,20-<30,145000,4.375,32200,P,360,0,,97.0,37.0,3,1,35-44,1404432,0,0,1
816,2020-05-01,1,P,20-<30,85000,3.25,32100,R,240,0,,31.88,44.0,5,1,25-34,2924670,0,0,1
764,2020-03-01,1,I,30-<36,205000,4.375,92500,R,360,0,,37.342,78.0,5,2,45-54,1782236,0,0,1
731,2020-03-01,1,P,44,465000,3.5,91300,R,360,0,,62.416,75.0,6,2,35-44,3203304,0,0,1
712,2020-03-01,1,P,20-<30,275000,3.875,95800,R,360,0,,52.0,106.0,5,1,>74,2068003,0,0,1
730,2020-03-01,1,P,20-<30,275000,3.875,95800,R,360,0,,52.0,106.0,5,1,>74,2068003,0,0,1
791,2020-05-01,1,P,20-<30,275000,3.875,95800,R,360,0,,52.0,106.0,5,1,>74,2068003,0,0,1
716,2020-03-01,1,P,49,325000,4.25,33100,P,360,0,,94.429,55.0,6,1,25-34,3752442,0,0,1
781,2020-03-01,1,P,20-<30,495000,3.875,34600,P,360,1,2020-05-01,80.0,310.0,5,1,45-54,2233973,1,1,1
771,2020-03-01,1,P,30-<36,475000,3.875,33300,P,360,1,2020-05-01,95.0,147.0,6,2,25-34,4840644,1,1,1
779,2020-03-01,1,P,20-<30,145000,3.75,78000,P,360,0,,100.0,50.0,5,2,55-64,2041943,0,0,1
766,2020-03-01,1,P,42,255000,3.875,77400,R,360,0,,78.32,103.0,6,2,45-54,1466245,0,0,1
758,2020-03-01,1,P,30-<36,215000,2.99,91900,R,180,0,,48.722,143.0,6,1,55-64,3554158,0,0,1
724,2020-03-01,1,P,38,405000,3.375,75000,P,360,0,,95.0,132.0,3,2,55-64,3078957,0,0,1
731,2020-03-01,1,P,30-<36,195000,3.75,78100,P,360,1,2020-08-01,96.5,93.0,6,2,55-64,2780874,1,1,1
714,2020-03-01,1,P,40,325000,3.99,78600,P,360,0,,80.0,100.0,5,2,25-34,3855012,0,0,1
803,2020-03-01,1,P,<20,305000,3.125,95100,R,180,0,,19.608,213.0,2,1,45-54,4392382,0,0,1
729,2020-03-01,1,P,20-<30,215000,3.25,95200,R,180,0,,53.0,153.0,5,1,55-64,2014073,0,0,1
744,2020-03-01,1,P,20-<30,205000,4.0,34600,R,360,0,,41.0,196.0,5,2,55-64,4418596,0,0,1
730,2020-03-01,1,P,20-<30,475000,3.75,95600,P,360,0,,57.94,163.0,5,1,25-34,1744668,0,0,1
741,2020-03-01,1,P,37,215000,3.75,34600,P,360,0,,70.0,60.0,5,1,35-44,888275,0,0,1
737,2020-03-01,1,P,30-<36,355000,3.5,77400,P,360,0,,85.0,124.0,5,1,35-44,2773549,0,0,1
756,2020-03-01,1,P,44,285000,3.875,92200,P,360,0,,80.0,142.0,2,2,45-54,1670802,0,0,1
758,2020-03-01,1,P,20-<30,235000,3.99,32800,R,360,0,,59.518,172.0,5,1,35-44,2832878,0,0,1
779,2020-03-01,1,P,20-<30,385000,3.875,75200,R,360,0,,63.25,164.0,5,2,25-34,3242826,0,0,1
801,2020-03-01,1,P,44,375000,3.75,75000,P,360,0,,95.0,202.0,5,2,25-34,3796688,0,0,1
781,2020-03-01,1,P,20-<30,645000,4.375,93500,P,360,0,,74.82,264.0,5,1,25-34,3282289,0,0,1
781,2020-03-01,1,P,30-<36,155000,3.5,32300,R,180,0,,62.12,54.0,3,2,35-44,561998,0,0,1
730,2020-03-01,1,P,30-<36,375000,3.625,76000,P,360,0,,94.999,167.0,3,2,45-54,1490355,0,0,1
740,2020-03-01,1,P,30-<36,235000,3.75,77400,R,360,0,,58.998,143.0,5,1,25-34,312763,0,0,1
707,2020-03-01,1,P,49,415000,3.875,75000,P,360,0,,95.0,87.0,2,1,35-44,1989343,0,0,1
670,2020-03-01,1,P,43,395000,4.375,34700,P,360,0,,97.0,89.0,6,1,<25,2770489,0,0,1
766,2020-03-01,1,P,30-<36,305000,3.75,11700,P,360,0,,80.0,115.0,5,1,35-44,1424367,0,0,1
796,2020-03-01,1,P,20-<30,165000,3.75,33700,P,360,0,,80.0,73.0,5,2,45-54,3812550,0,0,1
768,2020-03-01,1,P,30-<36,635000,4.375,92600,R,360,0,,60.0,225.0,2,1,25-34,526222,0,0,1
791,2020-03-01,1,P,39,145000,3.75,14000,P,360,0,,96.5,32.0,5,2,25-34,3574785,0,0,1
755,2020-03-01,1,P,20-<30,175000,3.875,14400,R,360,0,,51.68,118.0,5,1,45-54,772399,0,0,1
757,2020-03-01,1,P,30-<36,535000,3.5,92100,P,360,0,,80.0,126.0,2,1,25-34,3530231,0,0,1
798,2020-03-01,1,P,20-<30,135000,4.25,34400,P,360,0,,95.0,48.0,5,2,45-54,542996,0,0,1
746,2020-03-01,1,P,30-<36,165000,3.75,75200,R,360,0,,61.329,102.0,5,2,45-54,4294093,0,0,1
774,2020-03-01,1,P,38,245000,3.875,76000,R,360,0,,59.24,65.0,3,1,35-44,3197377,0,0,1
800,2020-04-01,1,P,20-<30,255000,3.875,34200,P,360,0,,63.224,155.0,5,1,35-44,3818611,0,0,1
741,2020-03-01,1,P,20-<30,275000,3.75,92500,R,360,0,,67.16,106.0,3,2,25-34,4198825,0,0,1
770,2020-03-01,1,P,20-<30,275000,3.75,92500,R,360,0,,67.16,106.0,3,2,25-34,4198825,0,0,1
747,2020-03-01,1,P,43,155000,3.75,33400,R,360,0,,57.5,100.0,5,2,65-74,1597579,0,0,1
728,2020-03-01,1,P,47,365000,3.875,94500,P,360,0,,80.0,70.0,2,2,25-34,1960891,0,0,1
733,2020-03-01,1,P,30-<36,375000,4.25,93500,P,360,0,,95.0,166.0,5,1,35-44,4409343,0,0,1
683,2020-03-01,1,P,20-<30,385000,3.99,75000,P,360,0,,75.0,170.0,5,2,45-54,2777785,0,0,1
783,2020-03-01,1,P,38,465000,3.875,93400,P,360,0,,70.0,95.0,3,2,45-54,882906,0,0,1
806,2020-03-01,1,P,20-<30,285000,3.875,32800,P,360,0,,96.5,117.0,3,2,35-44,2928868,0,0,1
792,2020-04-01,1,P,30-<36,335000,3.75,75000,P,360,0,,80.0,155.0,5,2,55-64,2891270,0,0,1
679,2020-03-01,1,P,42,265000,4.375,77300,P,360,0,,80.0,81.0,5,2,45-54,1939788,0,0,1
732,2020-03-01,1,P,45,245000,4.0,33500,P,360,0,,80.0,44.0,6,2,25-34,1107885,0,0,1
752,2020-03-01,1,P,43,375000,3.875,94500,R,360,1,2023-03-01,49.535,240.0,5,1,45-54,1238214,0,0,1
746,2020-03-01,1,P,43,235000,3.625,33900,P,360,0,,96.5,58.0,5,2,25-34,1107848,0,0,1
689,2020-04-01,1,P,20-<30,215000,3.625,33700,R,360,0,,67.94,158.0,5,1,25-34,1662057,0,0,1
732,2020-04-01,1,P,30-<36,225000,3.99,11700,R,360,0,,56.0,75.0,5,2,45-54,1762398,0,0,1
670,2020-04-01,1,P,39,195000,4.375,78200,P,360,0,,93.0,43.0,5,2,55-64,4118985,0,0,1
803,2020-04-01,1,P,20-<30,135000,3.875,33400,P,360,0,,75.0,280.0,5,1,35-44,4402512,0,0,1
802,2020-03-01,1,P,30-<36,165000,4.125,32100,P,360,0,,39.731,137.0,5,1,65-74,3740914,0,0,1
792,2020-03-01,1,P,30-<36,485000,3.875,93000,P,360,0,,79.508,113.0,5,1,25-34,1173923,0,0,1
756,2020-03-01,1,P,30-<36,265000,3.75,33500,R,360,0,,59.17,173.0,5,1,35-44,1975322,0,0,1
671,2020-03-01,1,P,49,145000,3.99,34700,R,360,0,,84.03,159.0,5,1,45-54,3969505,0,0,1
676,2020-04-01,1,P,20-<30,405000,4.5,95600,R,360,0,,47.018,172.0,5,1,45-54,3679439,0,0,1
707,2020-03-01,1,P,44,275000,5.25,78200,P,360,1,2020-06-01,100.0,85.0,6,2,35-44,2370584,1,1,1
763,2020-03-01,1,P,30-<36,245000,3.99,76100,R,360,0,,71.0,78.0,3,2,55-64,400523,0,0,1
749,2020-03-01,1,P,20-<30,285000,3.49,77000,R,360,0,,72.563,132.0,5,2,55-64,3637970,0,0,1
806,2020-04-01,1,P,30-<36,295000,3.75,32700,P,360,0,,97.08,55.0,5,2,35-44,1564270,0,0,1
808,2020-04-01,1,P,20-<30,185000,3.75,33900,P,360,0,,47.509,115.0,5,1,45-54,4389840,0,0,1
744,2020-03-01,1,P,47,285000,3.875,32800,P,360,0,,92.903,42.0,6,1,35-44,1245255,0,0,1
698,2020-04-01,1,P,30-<36,365000,3.75,91900,R,360,0,,47.5,109.0,6,1,35-44,1662483,0,0,1
806,2020-04-01,1,P,20-<30,225000,3.875,95800,P,360,0,,50.0,73.0,5,1,65-74,2167455,0,0,1
785,2020-03-01,1,P,<20,315000,3.625,32900,P,360,0,,95.0,185.0,5,1,25-34,1618506,0,0,1
683,2020-04-01,1,P,30-<36,185000,3.99,34200,P,360,0,,70.0,45.0,5,1,25-34,3079947,0,0,1
714,2020-03-01,1,P,30-<36,185000,3.875,95600,R,360,0,,36.0,81.0,5,1,55-64,3542482,0,0,1
823,2020-04-01,1,P,47,165000,3.75,75000,R,360,0,,62.977,35.0,6,1,<25,2531814,0,0,1
777,2020-03-01,1,P,30-<36,135000,3.75,32100,P,360,0,,97.0,61.0,5,2,25-34,3535907,0,0,1
727,2020-04-01,1,P,48,285000,3.75,90200,R,360,0,,46.613,79.0,3,1,65-74,2589995,0,0,1
812,2020-03-01,1,P,20-<30,245000,3.875,32900,P,360,0,,39.27,89.0,5,1,45-54,220693,0,0,1
776,2020-03-01,1,P,49,555000,3.625,11200,P,360,0,,86.0,81.0,2,1,35-44,1055642,0,0,1
799,2020-04-01,1,P,30-<36,465000,3.875,92800,R,360,0,,51.444,126.0,5,2,35-44,4296782,0,0,1
775,2020-04-01,1,P,45,545000,3.75,90700,P,360,0,,97.0,94.0,6,2,25-34,2063657,0,0,1
799,2020-03-01,1,P,20-<30,125000,3.75,76700,P,360,0,,50.2,49.0,5,2,>74,2157890,0,0,1
710,2020-03-01,1,P,20-<30,265000,3.875,95300,R,360,0,,75.0,77.0,5,1,45-54,2071437,0,0,1
681,2020-04-01,1,P,44,355000,3.875,11700,P,360,0,,96.5,110.0,5,2,45-54,2935234,0,0,1
712,2020-03-01,1,P,37,255000,3.875,77000,P,360,0,,80.0,85.0,2,1,25-34,4659979,0,0,1
729,2020-03-01,1,P,30-<36,175000,3.75,92500,R,360,0,,40.0,75.0,6,1,45-54,1756602,0,0,1
786,2020-04-01,1,P,30-<36,335000,3.99,95900,P,360,0,,,82.0,5,2,<25,343061,0,0,1
669,2020-04-01,1,P,20-<30,115000,4.875,78200,R,360,0,,58.0,75.0,6,1,25-34,1539874,0,0,1
734,2020-04-01,1,P,30-<36,145000,3.875,77000,P,360,0,,95.0,125.0,3,2,35-44,3749761,0,0,1
