credit_score,first_payment_date,total_units,occupancy_type,debt_to_income_ratio,loan_amount,interest_rate,postal_code,loan_purpose,loan_term,defaulted,default_month,six_month_interval_label,loan_to_value_ratio,income,applicant_race,applicant_sex,applicant_age,hmda_index,defaulted_in_six_months,defaulted_in_one_year
742,2020-03-01,1,S,38,165000,3.875,78100,P,360,0,,1,85.0,141.0,5,2,45-54,3813155,0,0
784,2020-03-01,1,P,20-<30,195000,3.875,95100,R,360,0,,1,19.5,218.0,2,1,55-64,3084302,0,0
738,2020-03-01,1,P,42,215000,3.875,34600,R,360,1,2020-06-01,1,68.87,128.0,5,2,45-54,5482681,1,1
740,2020-04-01,1,P,42,215000,3.875,34600,R,360,0,,1,68.87,128.0,5,2,45-54,5482681,0,0
798,2020-03-01,1,P,30-<36,465000,3.75,92600,P,360,0,,1,93.0,109.0,5,1,25-34,6003939,0,0
776,2020-03-01,1,P,39,315000,3.625,92100,R,360,0,,1,79.975,94.0,3,2,45-54,2775706,0,0
708,2020-03-01,1,P,20-<30,475000,3.75,32800,P,360,0,,1,100.0,239.0,6,2,35-44,2056665,0,0
803,2020-03-01,1,P,46,475000,3.875,94500,R,360,0,,1,73.023,81.0,5,1,55-64,5023600,0,0
801,2020-03-01,1,P,46,475000,3.875,94500,R,360,0,,1,73.023,81.0,5,1,55-64,5023600,0,0
715,2020-03-01,1,P,42,245000,4.0,91700,R,360,0,,1,74.342,82.0,3,2,35-44,709977,0,0
799,2020-03-01,1,P,38,435000,3.75,75000,P,360,0,,1,80.0,180.0,5,1,45-54,6467464,0,0
790,2020-03-01,1,P,<20,295000,3.75,32300,P,360,0,,1,95.0,204.0,5,1,35-44,2400570,0,0
683,2020-03-01,1,I,20-<30,65000,5.125,13600,P,360,0,,1,80.0,211.0,5,1,45-54,2561652,0,0
716,2020-03-01,1,P,30-<36,105000,4.375,77500,P,360,0,,1,95.0,43.0,5,2,45-54,5087357,0,0
691,2020-03-01,1,P,47,165000,3.99,75700,P,360,0,,1,55.932,42.0,5,2,25-34,5023943,0,0
793,2020-03-01,1,P,39,575000,3.125,92600,R,180,0,,1,76.66,164.0,5,1,35-44,161657,0,0
801,2020-03-01,1,P,30-<36,285000,3.5,92000,R,240,0,,1,59.792,111.0,5,2,35-44,2422598,0,0
781,2020-03-01,1,P,46,365000,3.75,95600,R,240,0,,1,74.531,132.0,5,1,35-44,1037207,0,0
677,2020-03-01,1,P,20-<30,295000,3.75,95600,R,240,0,,1,57.282,195.0,5,1,35-44,1039305,0,0
741,2020-03-01,1,P,49,295000,3.75,92000,R,360,0,,1,27.962,77.0,5,2,55-64,1037375,0,0
786,2020-02-01,1,P,47,435000,3.75,92600,P,360,0,,1,74.359,74.0,5,1,25-34,1039355,0,0
713,2020-03-01,1,P,<20,75000,3.125,93200,R,180,0,,1,35.0,78.0,5,1,35-44,5573814,0,0
798,2020-03-01,1,P,<20,155000,3.25,34600,P,180,0,,1,54.386,125.0,6,1,45-54,2989228,0,0
760,2020-03-01,1,P,20-<30,315000,3.875,32300,P,360,0,,1,90.0,115.0,5,1,25-34,4651682,0,0
760,2020-03-01,1,P,44,325000,3.875,33900,P,360,0,,1,80.0,163.0,5,1,55-64,1038823,0,0
759,2020-03-01,1,P,30-<36,355000,3.99,77300,R,360,0,,1,95.0,177.0,5,1,45-54,2598255,0,0
655,2020-03-01,1,P,20-<30,175000,3.99,32700,R,360,0,,1,59.82,95.0,5,2,55-64,170058,0,0
755,2020-04-01,1,P,20-<30,175000,3.99,32700,R,360,0,,1,59.82,95.0,5,2,55-64,170058,0,0
753,2020-03-01,1,P,38,525000,4.125,91300,R,360,0,,1,87.52,151.0,2,2,25-34,156870,0,0
749,2020-03-01,1,P,30-<36,135000,3.99,32600,R,240,0,,1,77.14,46.0,5,1,25-34,166003,0,0
809,2020-03-01,1,P,49,375000,3.5,94500,R,360,0,,1,80.0,120.0,5,1,45-54,6584361,0,0
755,2020-03-01,1,P,44,425000,3.25,92100,R,360,0,,1,62.375,99.0,5,1,35-44,2755303,0,0
718,2020-03-01,1,P,<20,75000,3.875,33000,P,360,0,,1,60.0,142.0,5,1,35-44,1038568,0,0
711,2020-03-01,1,P,45,185000,3.75,96000,R,360,0,,1,49.333,49.0,6,1,65-74,1818629,0,0
714,2020-03-01,1,P,30-<36,75000,3.625,92500,P,180,0,,1,22.255,40.0,6,1,55-64,5025576,0,0
713,2020-03-01,1,P,40,295000,3.99,77400,P,360,0,,1,95.0,154.0,5,1,45-54,5087330,0,0
804,2020-03-01,1,P,20-<30,195000,3.875,75400,P,360,0,,1,90.868,63.0,5,1,35-44,3816491,0,0
806,2020-03-01,1,P,20-<30,185000,3.5,34600,R,180,0,,1,65.371,164.0,5,1,45-54,5049653,0,0
731,2020-03-01,1,P,37,195000,3.75,32500,R,360,0,,1,79.714,66.0,5,2,35-44,1040826,0,0
696,2020-03-01,1,P,20-<30,335000,3.56,95100,R,360,0,,1,44.79,146.0,2,1,55-64,162209,0,0
722,2020-03-01,1,P,43,145000,4.875,34200,P,360,0,,1,97.0,32.0,5,1,55-64,151789,0,0
736,2020-03-01,1,P,20-<30,125000,3.99,34700,R,360,0,,1,37.385,63.0,5,1,55-64,4936925,0,0
721,2020-03-01,1,P,36,505000,3.875,94500,R,360,0,,1,78.833,109.0,2,2,35-44,3084846,0,0
748,2020-03-01,1,P,30-<36,365000,3.75,33500,R,300,0,,1,66.4,220.0,6,2,45-54,155697,0,0
763,2020-03-01,1,P,41,245000,3.75,32800,R,360,0,,1,74.16,86.0,5,1,65-74,169553,0,0
776,2020-03-01,1,P,30-<36,185000,3.75,32700,R,324,0,,1,73.8,94.0,5,2,45-54,173744,0,0
775,2020-03-01,1,P,36,205000,3.75,32800,R,360,0,,1,70.0,64.0,5,2,35-44,174517,0,0
723,2020-03-01,1,P,45,315000,3.709,95600,R,360,0,,1,63.0,56.0,5,2,55-64,1044712,0,0
791,2020-03-01,1,S,30-<36,225000,3.75,33100,R,360,0,,1,72.581,336.0,5,1,>74,1037079,0,0
686,2020-03-01,1,P,44,535000,4.25,91300,R,360,0,,1,89.708,119.0,2,2,65-74,1048434,0,0
768,2020-03-01,1,P,30-<36,395000,3.875,92000,R,360,0,,1,77.451,103.0,5,1,45-54,2998308,0,0
779,2020-03-01,1,P,30-<36,385000,4.375,92000,R,360,0,,1,38.919,115.0,5,2,45-54,1037368,0,0
758,2020-03-01,1,P,20-<30,495000,3.875,90600,P,360,0,,1,73.333,136.0,2,1,25-34,5814397,0,0
692,2020-03-01,1,P,30-<36,235000,3.625,76200,R,240,0,,1,49.0,107.0,5,2,45-54,1973625,0,0
736,2020-03-01,1,P,41,365000,3.625,96000,P,360,0,,1,90.0,96.0,5,1,35-44,3643822,0,0
785,2020-03-01,1,P,20-<30,415000,3.75,34600,R,360,0,,1,89.34,114.0,5,2,25-34,748505,0,0
808,2020-03-01,1,P,20-<30,145000,3.75,33600,R,360,0,,1,55.769,49.0,5,2,35-44,4995496,0,0
783,2020-03-01,1,P,48,225000,3.875,32900,P,360,0,,1,90.0,70.0,5,2,55-64,1878936,0,0
704,2020-03-01,1,P,49,95000,3.75,33000,R,360,0,,1,75.0,43.0,5,1,45-54,946764,0,0
675,2020-03-01,1,P,<20,75000,3.5,78000,R,120,0,,1,58.438,134.0,5,2,65-74,2595768,0,0
728,2020-03-01,1,P,49,535000,4.125,92000,P,360,0,,1,88.0,97.0,5,2,25-34,5636408,0,0
685,2020-03-01,1,P,30-<36,225000,3.99,93600,P,360,1,2020-07-01,1,90.996,56.0,5,2,25-34,1072747,1,1
812,2020-03-01,1,P,46,315000,3.875,91300,P,360,0,,1,62.0,61.0,6,2,65-74,5641209,0,0
780,2020-03-01,3,P,42,525000,3.75,10400,P,360,0,,1,69.0,96.0,6,1,45-54,5643641,0,0
749,2020-03-01,1,P,40,535000,3.25,90000,R,180,0,,1,55.02,185.0,5,2,55-64,153617,0,0
773,2020-03-01,1,P,20-<30,165000,3.99,77000,R,360,0,,1,74.793,101.0,5,1,25-34,4940914,0,0
766,2020-03-01,1,P,20-<30,285000,3.75,75100,R,360,0,,1,71.0,97.0,5,1,35-44,1973517,0,0
782,2020-03-01,1,P,20-<30,375000,4.25,33300,P,360,0,,1,89.699,180.0,5,2,45-54,1040339,0,0
697,2020-03-01,1,P,20-<30,285000,4.42,32800,R,360,0,,1,79.248,87.0,6,1,45-54,1040919,0,0
774,2020-03-01,1,P,36,475000,3.75,91300,R,360,0,,1,54.737,235.0,5,1,45-54,6888567,0,0
803,2020-03-01,1,P,41,115000,3.75,93100,P,360,0,,1,45.0,37.0,5,2,25-34,1430556,0,0
782,2020-03-01,1,P,30-<36,375000,3.0,95100,R,180,0,,1,43.02,152.0,2,1,35-44,201582,0,0
725,2020-03-01,1,P,43,255000,3.625,11700,P,360,0,,1,60.24,76.0,5,2,35-44,7566450,0,0
689,2020-03-01,1,P,43,215000,4.176,95300,P,360,1,2021-01-01,1,80.0,38.0,6,1,65-74,1039792,0,1
754,2020-03-01,1,P,41,545000,3.99,95700,R,360,0,,1,77.786,148.0,5,2,25-34,2395328,0,0
800,2020-03-01,1,P,20-<30,435000,3.754,91700,R,360,0,,1,74.807,120.0,5,1,35-44,1045642,0,0
664,2020-03-01,1,P,49,435000,3.875,94500,R,360,1,2020-06-01,1,75.0,95.0,2,1,65-74,2932719,1,1
787,2020-03-01,1,P,47,385000,4.25,91700,P,360,0,,1,52.381,72.0,2,1,35-44,1038346,0,0
787,2020-03-01,1,P,20-<30,475000,3.75,95100,R,360,0,,1,26.558,254.0,5,1,45-54,6979287,0,0
779,2020-03-01,1,P,48,495000,3.375,92000,P,360,0,,1,80.0,176.0,2,1,55-64,3115476,0,0
779,2020-03-01,1,P,47,145000,3.99,76200,P,360,0,,1,49.153,31.0,5,2,65-74,5808057,0,0
649,2020-03-01,1,P,30-<36,115000,3.5,14400,R,180,0,,1,77.632,125.0,5,2,35-44,4948495,0,0
808,2020-03-01,1,P,<20,295000,3.25,95000,R,180,0,,1,18.43,193.0,2,1,35-44,7553151,0,0
686,2020-02-01,1,P,<20,305000,4.625,92100,R,360,1,2020-12-01,1,70.0,214.0,2,2,35-44,7558163,0,1
756,2020-03-01,1,P,47,335000,4.25,10900,P,360,0,,1,79.762,57.0,5,1,45-54,2402010,0,0
722,2020-03-01,1,P,41,495000,3.875,10500,P,360,1,2020-06-01,1,90.0,132.0,5,1,25-34,2402612,1,1
778,2020-03-01,1,P,37,325000,3.875,92300,R,360,0,,1,90.0,84.0,6,2,25-34,1621393,0,0
778,2020-04-01,1,P,30-<36,155000,3.0,33100,R,180,0,,1,75.0,87.0,5,2,45-54,6905368,0,0
659,2020-03-01,1,S,20-<30,85000,5.125,92200,R,360,1,2020-07-01,1,45.249,55.0,6,1,45-54,3085431,1,1
772,2020-03-01,1,P,30-<36,585000,4.0,90800,R,360,0,,1,74.23,157.0,5,1,35-44,169812,0,0
749,2020-02-01,1,P,44,295000,3.875,33100,R,360,0,,1,79.891,64.0,6,2,55-64,1056395,0,0
723,2020-03-01,1,P,36,255000,3.875,95600,R,360,0,,1,60.0,105.0,6,1,45-54,5814393,0,0
721,2020-03-01,1,I,46,125000,4.625,79700,R,180,0,,1,75.0,156.0,5,1,55-64,2594844,0,0
798,2020-03-01,1,P,20-<30,205000,3.99,32400,P,360,0,,1,57.746,103.0,5,2,45-54,2399646,0,0
752,2020-03-01,1,P,30-<36,345000,3.75,94600,R,360,0,,1,55.85,94.0,5,1,35-44,3579392,0,0
665,2020-04-01,1,P,30-<36,345000,3.75,94600,R,360,0,,1,55.85,94.0,5,1,35-44,3579392,0,0
730,2020-03-01,1,P,<20,195000,3.25,95900,R,180,0,,1,70.909,123.0,5,1,35-44,1566661,0,0
823,2020-03-01,1,P,<20,285000,3.125,34200,R,180,0,,1,55.0,199.0,5,1,55-64,5636979,0,0
813,2020-03-01,1,P,20-<30,295000,2.865,77400,R,180,0,,1,58.0,170.0,2,1,45-54,5638411,0,0
709,2020-03-01,1,P,48,705000,3.99,94500,R,360,0,,1,51.0,235.0,2,1,35-44,5635554,0,0
711,2020-03-01,1,P,47,255000,3.875,32800,P,360,0,,1,85.0,85.0,6,1,45-54,5636048,0,0
778,2020-03-01,1,P,20-<30,125000,4.0,34200,P,360,0,,1,71.751,124.0,5,1,35-44,3911018,0,0
810,2020-03-01,1,P,20-<30,195000,4.25,33400,P,360,0,,1,75.0,83.0,5,1,>74,5808174,0,0
800,2020-03-01,1,P,30-<36,55000,3.75,34700,R,360,0,,1,30.18,47.0,5,2,65-74,4308669,0,0
764,2020-03-01,1,P,30-<36,235000,4.0,75000,R,360,0,,1,80.0,122.0,5,2,45-54,2971067,0,0
801,2020-03-01,1,P,46,285000,3.99,33400,P,360,0,,1,95.0,60.0,5,2,25-34,5946667,0,0
805,2020-03-01,1,P,<20,285000,2.875,92600,R,180,0,,1,21.65,184.0,5,2,65-74,7581459,0,0
717,2020-03-01,1,P,20-<30,395000,3.75,92500,R,360,0,,1,88.539,170.0,5,1,45-54,1065223,0,0
686,2020-03-01,1,P,40,95000,5.0,34600,P,360,0,,1,80.0,30.0,5,1,>74,1037500,0,0
789,2020-03-01,1,P,44,455000,3.5,95100,R,360,0,,1,62.9,88.0,3,2,65-74,162070,0,0
760,2020-03-01,1,P,20-<30,225000,3.75,96100,R,360,1,2020-11-01,1,87.31,103.0,5,2,65-74,1468510,0,1
733,2020-02-01,1,P,44,455000,3.69,95400,R,360,0,,1,53.52,120.0,5,2,55-64,156830,0,0
758,2020-03-01,1,P,44,335000,3.99,34200,R,360,0,,1,90.0,62.0,6,2,35-44,157040,0,0
748,2020-03-01,1,P,20-<30,125000,3.99,12600,R,240,0,,1,75.0,109.0,5,1,45-54,158800,0,0
710,2020-03-01,1,P,46,325000,3.25,91700,R,180,0,,1,24.43,128.0,5,1,55-64,167263,0,0
748,2020-03-01,1,P,20-<30,545000,3.69,91300,R,360,0,,1,83.84,161.0,5,1,25-34,169074,0,0
764,2020-03-01,1,P,42,425000,3.515,77000,R,240,0,,1,78.645,179.0,5,1,45-54,1044745,0,0
776,2020-03-01,1,P,48,185000,3.75,14000,P,360,0,,1,95.0,59.0,5,2,45-54,1927205,0,0
735,2020-03-01,1,P,<20,125000,3.75,14200,R,360,0,,1,74.85,248.0,5,2,25-34,3596213,0,0
788,2020-03-01,1,S,20-<30,185000,4.0,75200,P,360,0,,1,90.0,522.0,6,1,45-54,7324252,0,0
723,2020-03-01,1,P,47,425000,3.75,11700,R,360,0,,1,70.248,183.0,5,1,25-34,2997857,0,0
721,2020-03-01,1,P,37,95000,3.625,14400,P,360,0,,1,95.0,38.0,5,1,<25,3755070,0,0
770,2020-03-01,1,P,30-<36,455000,3.625,90000,R,240,0,,1,70.0,146.0,5,2,25-34,3704023,0,0
781,2020-03-01,1,P,20-<30,165000,4.125,12500,P,360,0,,1,73.33,152.0,5,1,35-44,7559795,0,0
740,2020-03-01,1,P,36,435000,3.6,33100,P,360,0,,1,89.914,300.0,5,1,35-44,749268,0,0
738,2020-03-01,1,P,44,195000,4.1,32700,P,360,0,,1,95.0,39.0,5,1,35-44,749133,0,0
775,2020-03-01,1,P,30-<36,495000,3.75,90600,P,360,0,,1,67.347,306.0,5,2,65-74,747930,0,0
743,2020-03-01,1,P,20-<30,405000,3.99,33100,P,360,0,,1,90.0,149.0,6,2,55-64,749857,0,0
755,2020-03-01,1,P,41,505000,3.75,93500,R,240,0,,1,82.787,141.0,5,1,35-44,3083651,0,0
789,2020-03-01,1,P,42,325000,3.875,32700,P,360,0,,1,97.0,160.0,6,1,25-34,5823497,0,0
688,2020-03-01,1,P,42,115000,4.125,77900,P,360,0,,1,100.0,28.0,5,2,<25,3869153,0,0
671,2020-03-01,1,P,30-<36,375000,3.875,33100,P,360,1,2020-07-01,1,70.131,123.0,5,1,55-64,7323827,1,1
762,2020-03-01,1,P,40,455000,3.5,95100,P,360,0,,1,47.644,112.0,2,1,25-34,4336411,0,0
790,2020-03-01,1,P,39,625000,4.0,91700,R,360,0,,1,73.529,148.0,2,1,35-44,2664747,0,0
753,2020-03-01,1,P,36,445000,3.75,77500,R,360,0,,1,74.45,134.0,1,1,45-54,7844472,0,0
777,2020-03-01,1,P,41,195000,2.99,78700,R,180,0,,1,58.299,65.0,6,2,25-34,949876,0,0
735,2020-03-01,1,P,37,125000,3.5,32500,R,360,0,,1,67.204,37.0,5,1,25-34,946562,0,0
722,2020-03-01,1,P,47,265000,3.75,11900,P,360,0,,1,63.86,57.0,5,1,65-74,1465458,0,0
768,2020-03-01,1,P,46,165000,3.75,78200,P,360,0,,1,99.937,50.0,6,1,25-34,2107684,0,0
764,2020-03-01,1,P,47,195000,3.875,77000,R,360,0,,1,88.24,69.0,5,1,35-44,7412748,0,0
817,2020-03-01,1,I,30-<36,135000,4.125,34200,P,180,0,,1,75.0,100.0,5,1,25-34,5889374,0,0
808,2020-03-01,1,S,30-<36,275000,3.25,95400,R,180,0,,1,55.55,300.0,5,1,45-54,155532,0,0
815,2020-03-01,1,P,20-<30,225000,2.99,93200,R,180,0,,1,65.07,104.0,5,1,45-54,159987,0,0
767,2020-03-01,1,P,46,195000,2.75,93000,R,180,0,,1,44.71,59.0,6,1,35-44,170627,0,0
732,2020-03-01,1,P,30-<36,195000,3.99,32700,R,324,0,,1,77.92,114.0,5,2,35-44,169696,0,0
681,2020-03-01,1,P,36,235000,3.5,77400,R,180,0,,1,68.46,198.0,6,1,35-44,168721,0,0
763,2020-03-01,1,P,36,265000,4.375,92500,R,360,0,,1,91.2,59.0,5,2,45-54,173583,0,0
677,2020-03-01,1,I,44,375000,3.375,92000,R,180,0,,1,53.669,253.0,2,1,35-44,1917985,0,0
807,2020-03-01,1,P,30-<36,585000,3.69,91300,R,360,0,,1,69.64,217.0,2,1,35-44,176159,0,0
744,2020-03-01,1,P,43,205000,3.875,76500,P,360,0,,1,97.0,75.0,5,1,25-34,5805870,0,0
794,2020-03-01,1,P,43,505000,3.75,90800,R,360,0,,1,79.141,82.0,5,2,35-44,1071751,0,0
816,2020-03-01,1,P,49,215000,3.708,75000,R,360,0,,1,77.617,41.0,3,1,45-54,1041777,0,0
766,2020-03-01,1,P,<20,235000,3.25,92600,R,180,0,,1,27.283,201.0,5,2,45-54,6523193,0,0
672,2020-03-01,1,P,47,265000,3.627,91700,P,240,0,,1,51.456,70.0,3,1,45-54,1041075,0,0
797,2020-03-01,1,P,<20,285000,3.75,75700,R,360,0,,1,45.24,231.0,5,1,45-54,7442409,0,0
756,2020-03-01,1,P,46,215000,4.25,34700,P,360,0,,1,90.0,42.0,3,2,<25,5824656,0,0
803,2020-03-01,1,P,39,475000,3.75,95600,P,360,0,,1,96.5,242.0,5,2,25-34,327706,0,0
784,2020-03-01,1,I,37,265000,4.5,11500,P,360,0,,1,42.4,91.0,2,2,25-34,2399833,0,0
716,2020-03-01,2,P,38,165000,3.99,93500,P,360,0,,1,75.0,48.0,6,1,45-54,6004421,0,0
762,2020-05-01,1,P,<20,395000,3.125,92100,R,180,0,,1,48.922,330.0,2,1,35-44,6546862,0,0
751,2020-03-01,1,P,41,765000,3.99,94500,P,360,0,,1,90.0,168.0,2,2,35-44,7304206,0,0
779,2020-03-01,1,P,<20,125000,3.625,75000,P,180,0,,1,23.81,350.0,5,1,55-64,2751742,0,0
770,2020-03-01,1,P,49,55000,3.875,75800,P,360,1,2020-06-01,1,95.0,34.0,3,1,45-54,2789143,1,1
799,2020-03-01,1,P,<20,215000,2.625,93500,P,180,0,,1,61.0,121.0,5,1,35-44,5644687,0,0
798,2020-03-01,1,P,49,225000,3.625,34100,R,360,0,,1,34.0,120.0,5,1,>74,5636289,0,0
644,2020-03-01,1,P,30-<36,125000,2.99,77300,R,180,0,,1,58.62,112.0,3,1,55-64,224438,0,0
749,2020-03-01,1,P,42,365000,3.625,78200,P,360,1,2020-07-01,1,94.805,175.0,5,1,25-34,2107188,1,1
776,2020-03-01,1,P,49,325000,3.75,75400,P,360,0,,1,72.289,100.0,5,1,65-74,6468018,0,0
802,2020-03-01,1,P,48,195000,4.5,33400,P,360,1,2020-06-01,1,98.189,49.0,5,1,35-44,5343109,1,1
678,2020-03-01,1,P,44,115000,3.99,94900,P,360,0,,1,19.189,34.0,5,1,35-44,5365127,0,0
731,2020-03-01,1,P,30-<36,335000,4.124,92200,P,360,0,,1,95.0,114.0,6,1,35-44,6640391,0,0
780,2020-03-01,2,P,30-<36,185000,3.625,14200,P,360,0,,1,95.0,54.0,5,1,65-74,1927067,0,0
753,2020-03-01,1,P,41,125000,4.0,75400,R,360,0,,1,53.191,91.0,5,2,35-44,5220499,0,0
680,2020-03-01,1,P,37,385000,3.75,33000,P,360,0,,1,59.969,112.0,3,1,55-64,2404015,0,0
804,2020-03-01,1,P,37,245000,3.0,93700,R,240,0,,1,70.0,134.0,2,2,45-54,2395573,0,0
671,2020-03-01,1,P,20-<30,275000,3.875,92000,R,360,0,,1,60.0,92.0,5,2,45-54,5581901,0,0
804,2020-03-01,1,P,20-<30,315000,4.0,92800,R,360,0,,1,79.449,94.0,5,2,25-34,6528672,0,0
802,2020-03-01,1,S,20-<30,135000,4.25,33900,P,360,0,,1,80.0,120.0,5,1,55-64,2645202,0,0
809,2020-03-01,1,P,30-<36,215000,3.375,91900,R,360,0,,1,37.98,91.0,5,2,>74,6224477,0,0
735,2020-03-01,1,P,43,455000,3.5,91300,P,360,0,,1,90.0,103.0,6,1,25-34,3184507,0,0
766,2020-03-01,1,P,30-<36,445000,3.875,75000,R,360,0,,1,74.0,163.0,5,1,35-44,5636204,0,0
770,2020-03-01,1,P,45,195000,3.5,33600,R,360,0,,1,58.559,50.0,6,1,35-44,2109068,0,0
786,2020-03-01,1,P,<20,525000,4.125,94500,R,360,0,,1,77.77,249.0,5,1,25-34,160039,0,0
798,2020-03-01,1,P,30-<36,105000,4.125,33900,R,300,0,,1,69.33,30.0,6,1,65-74,175650,0,0
807,2020-03-01,1,P,48,265000,3.75,33400,P,360,0,,1,96.5,97.0,5,2,55-64,7425154,0,0
776,2020-03-01,1,P,20-<30,765000,3.875,90000,R,360,0,,1,76.52,225.0,5,1,35-44,1042785,0,0
704,2020-03-01,1,P,48,575000,3.75,94100,R,360,0,,1,59.958,104.0,2,2,25-34,1044932,0,0
757,2020-03-01,1,P,37,585000,3.875,94500,R,360,0,,1,81.818,153.0,5,1,55-64,1045454,0,0
789,2020-03-01,1,P,20-<30,345000,3.75,92100,P,360,0,,1,75.0,119.0,5,2,25-34,1042559,0,0
760,2020-03-01,1,P,30-<36,145000,3.25,96000,R,180,0,,1,57.0,129.0,5,1,65-74,5635459,0,0
784,2020-03-01,1,P,<20,585000,3.125,95100,R,180,0,,1,43.0,423.0,2,1,25-34,5639341,0,0
717,2020-03-01,1,P,43,315000,3.99,10900,P,360,0,,1,97.0,89.0,3,2,35-44,5642421,0,0
741,2020-03-01,1,P,48,555000,3.625,93000,P,360,0,,1,75.0,175.0,6,1,35-44,5643956,0,0
673,2020-03-01,1,P,30-<36,165000,3.476,92600,R,180,0,,1,32.944,75.0,5,2,35-44,1037218,0,0
755,2020-03-01,1,P,48,355000,3.75,93100,P,360,1,2020-07-01,1,69.336,62.0,5,1,35-44,7323477,1,1
759,2020-03-01,1,P,<20,375000,3.625,78400,P,360,0,,1,95.0,240.0,5,1,25-34,4279990,0,0
779,2020-03-01,1,P,42,75000,4.375,75000,P,360,0,,1,24.0,81.0,5,1,55-64,4067648,0,0
740,2020-03-01,1,P,43,195000,3.625,90800,P,360,0,,1,35.78,103.0,5,2,35-44,6553803,0,0
750,2020-03-01,1,P,30-<36,475000,3.875,95000,R,360,0,,1,69.399,124.0,5,1,45-54,5973535,0,0
794,2020-03-01,1,P,<20,325000,3.375,91300,R,360,0,,1,33.33,114.0,5,2,>74,3270162,0,0
787,2020-03-01,1,P,42,385000,3.75,92000,R,360,0,,1,48.125,89.0,6,2,65-74,7845612,0,0
772,2020-03-01,1,P,20-<30,535000,3.75,90700,R,240,0,,1,79.895,295.0,6,1,45-54,2401893,0,0
769,2020-03-01,1,P,44,725000,4.25,94000,P,360,0,,1,83.794,234.0,5,1,>74,6307766,0,0
780,2020-03-01,1,P,<20,295000,3.75,78700,P,360,0,,1,89.939,175.0,5,1,35-44,5814469,0,0
666,2020-03-01,1,P,44,315000,4.25,32800,R,360,0,,1,86.111,135.0,5,1,45-54,2409567,0,0
784,2020-03-01,1,P,30-<36,395000,3.25,77000,R,180,0,,1,52.693,299.0,5,1,35-44,1621370,0,0
